Date,Gold,Nifty50
2023-08-24,1918.199951171875,19386.69921875
2023-08-25,1911.0999755859375,19265.80078125
2023-08-28,1917.9000244140625,19306.05078125
2023-08-29,1936.5,19342.650390625
2023-08-30,1944.300048828125,19347.44921875
2023-08-31,1938.199951171875,19253.80078125
2023-09-01,1939.800048828125,19435.30078125
2023-09-04,,19528.80078125
2023-09-05,1926.199951171875,19574.900390625
2023-09-06,1918.0999755859375,19611.05078125
2023-09-07,1917.5,19727.05078125
2023-09-08,1918.4000244140625,19819.94921875
2023-09-11,1923.300048828125,19996.349609375
2023-09-12,1911.300048828125,19993.19921875
2023-09-13,1909.0999755859375,20070.0
2023-09-14,1910.0,20103.099609375
2023-09-15,1923.699951171875,20192.349609375
2023-09-18,1931.5,20133.30078125
2023-09-19,1932.0,
2023-09-20,1945.5999755859375,19901.400390625
2023-09-21,1919.199951171875,19742.349609375
2023-09-22,1925.4000244140625,19674.25
2023-09-25,1916.5999755859375,19674.55078125
2023-09-26,1900.4000244140625,19664.69921875
2023-09-27,1871.5999755859375,19716.44921875
2023-09-28,1860.4000244140625,19523.55078125
2023-09-29,1848.0999755859375,19638.30078125
2023-10-02,1830.0,
2023-10-03,1824.5999755859375,19528.75
2023-10-04,1818.5,19436.099609375
2023-10-05,1816.5999755859375,19545.75
2023-10-06,1830.199951171875,19653.5
2023-10-09,1849.5,19512.349609375
2023-10-10,1861.0,19689.849609375
2023-10-11,1872.800048828125,19811.349609375
2023-10-12,1869.300048828125,19794.0
2023-10-13,1927.4000244140625,19751.05078125
2023-10-16,1921.0999755859375,19731.75
2023-10-17,1922.699951171875,19811.5
2023-10-18,1955.300048828125,19671.099609375
2023-10-19,1968.4000244140625,19624.69921875
2023-10-20,1982.5,19542.650390625
2023-10-23,1976.300048828125,19281.75
2023-10-24,1975.0,
2023-10-25,1984.0999755859375,19122.150390625
2023-10-26,1987.199951171875,18857.25
2023-10-27,1988.5999755859375,19047.25
2023-10-30,1996.199951171875,19140.900390625
2023-10-31,1985.199951171875,19079.599609375
2023-11-01,1978.800048828125,18989.150390625
2023-11-02,1985.5999755859375,19133.25
2023-11-03,1991.5,19230.599609375
2023-11-06,1981.5999755859375,19411.75
2023-11-07,1966.800048828125,19406.69921875
2023-11-08,1951.5,19443.5
2023-11-09,1964.199951171875,19395.30078125
2023-11-10,1932.5999755859375,19425.349609375
2023-11-13,1945.5,19443.55078125
2023-11-14,1961.800048828125,
2023-11-15,1960.0999755859375,19675.44921875
2023-11-16,1983.9000244140625,19765.19921875
2023-11-17,1981.5999755859375,19731.80078125
2023-11-20,1977.699951171875,19694.0
2023-11-21,1999.300048828125,19783.400390625
2023-11-22,1991.4000244140625,19811.849609375
2023-11-23,1991.5,19802.0
2023-11-24,2002.199951171875,19794.69921875
2023-11-27,2011.800048828125,
2023-11-28,2039.699951171875,19889.69921875
2023-11-29,2047.0999755859375,20096.599609375
2023-11-30,2038.0999755859375,20133.150390625
2023-12-01,2071.0,20267.900390625
2023-12-04,2024.0999755859375,20686.80078125
2023-12-05,2018.5,20855.099609375
2023-12-06,2030.5,20937.69921875
2023-12-07,2029.9000244140625,20901.150390625
2023-12-08,1998.300048828125,20969.400390625
2023-12-11,1978.0,20997.099609375
2023-12-12,1977.800048828125,20906.400390625
2023-12-13,1982.300048828125,20926.349609375
2023-12-14,2030.199951171875,21182.69921875
2023-12-15,2021.0999755859375,21456.650390625
2023-12-18,2026.300048828125,21418.650390625
2023-12-19,2038.4000244140625,21453.099609375
2023-12-20,2034.5,21150.150390625
2023-12-21,2039.0999755859375,21255.05078125
2023-12-22,2057.10009765625,21349.400390625
2023-12-26,2058.199951171875,21441.349609375
2023-12-27,2081.89990234375,21654.75
2023-12-28,2073.89990234375,21778.69921875
2023-12-29,2062.39990234375,21731.400390625
2024-01-02,2064.39990234375,21665.80078125
2024-01-03,2034.199951171875,21517.349609375
2024-01-04,2042.300048828125,21658.599609375
2024-01-05,2042.4000244140625,21710.80078125
2024-01-08,2026.5999755859375,21513.0
2024-01-09,2026.4000244140625,21544.849609375
2024-01-10,2021.699951171875,21618.69921875
2024-01-11,2014.300048828125,21647.19921875
2024-01-12,2057.199951171875,21894.55078125
